batch_number,fundtap_profit_loss_mean
44,691.44
14,574.69
29,545.97
12,512.11
26,458.22
10,449.78
11,430.06
33,422.4
13,416.79
39,410
20,379.24
24,377.95
9,371.51
25,366.57
31,352.85
27,349.5
50,344.46
22,337.27
36,321.94
52,303.61
28,296.39
35,283.94
56,269.9
7,255.08
60,253.96
62,232.56
69,229.33
42,226.49
15,226.14
19,222.96
41,212.62
37,210.72
82,206.92
38,201.99
54,200.77
30,197.52
46,195.82
5,192.1
45,192.07
77,176.8
81,175.18
6,169.87
18,165.32
49,163.2
79,160.21
64,157.97
80,152.27
55,148.46
48,146.18
59,145.55
53,145.39
75,144.87
72,143.68
57,139.18
58,138.4
74,124.18
71,123.91
61,121.29
84,120.59
4,119.31
76,118.84
8,118.53
70,118.33
67,116.43
83,111.63
73,99.46
23,89.73
65,83.64
85,74.18
32,65.84
47,59.87
16,54.83
3,54.48
51,44.92
34,41.81
43,16.35
2,15.41
63,13.21
40,11.43
1,0
17,0
66,-4.04
78,-4.58
86,-42.08860759
68,-105.12
21,-691.14
